"Sakamoto Mashiro","사카모토 마시로","-","J-group","C","2002","e","22"
"Sakamoto Shihona","사카모토 시호나","-","J-group","C","1997","e","69"
"Seo YoungEun","서영은","-","K-group","A","2002","e","25"
"Shen XiaoTing","-","션샤오팅","C-group","B","1996","e","38"
"Shima Moka","시마 모카","-","J-group","C","1997","e","62"
"Sim SeungEun","-","심승은","K-group","A","2003","e","70"
"Su RuiQi","수루이치","-","C-group","B","2001","e","91"
"Suh JiMin","서지민","-","K-group","A","1996","e","96"
"Terasaki Hina","테라사키 히나","-","J-group","C","2001","e","34"
"Wang QiuRu","-","왕치우루","C-group","B","1999","e","7"
"Wang YaLe","왕야러","-","C-group","B","2002","s","31"
"Wen Zhe","원저","-","C-group","B","2001","e","79"
"Wu Tammy","우태미","-","C-group","B","2000","e","53"
"Xia Yan","시아옌","-","C-group","B","2003","e","51"
"Xu RuoWei","쉬뤄웨이","-","C-group","B","1999","e","54"
"Xu ZiYin","쉬쯔인","-","C-group","B","2002","e","27"
"Yamauchi Moana","야마우치 모아나","","J-group","C","1999","e","44"
"Yang ZiGe","-","양쯔거","C-group","B","1999","e","64"
"Yoon JiA","-","윤지아","K-group","A","2003","e","65"
"Yoo DaYeon","-","유다연","K-group","A","2003","e","65"
"Zhang LuoFei","-","장루오페이","C-group","B","2003","e","65"
"Zhou XinYu","-","저우신위","C-group","B","2003","e","65"
